"author","display_name_alternatives","year"
Bryant G. Garth,"[""B. Garth"", ""Bryant Garth"", ""Bryant G. Garth"", ""B Garth"", ""Bryant G Garth"", ""B.G. Garth""]",1982
Linda Mulcahy,"[""L. Mulcahy"", ""L.J. Mulcahy"", ""Linda J Mulcahy"", ""Linda Mulcahy"", ""LINDA MULCAHY"", ""L Mulcahy""]",2015
Donna Y. Ford,"[""DONNA Y. FORD"", ""Donna Yvette Ford"", ""Donna Ford"", ""D. Ford"", ""Donna Y. Ford"", ""Donna Y Ford""]",2014
Charles J. Russo,"[""Charles Russo"", ""C. J. Russo"", ""C.J. Russo"", ""CHARLES J. RUSSO"", ""C Russo"", ""Charles J. Russo"", ""Charles J Russo"", ""C J Russo""]",2014
Elizabeth A. McLeod,"[""E. McLeod"", ""Elizabeth A. McLeod""]",1983
Emily Jackson,"[""Emily A Jackson"", ""E Jackson"", ""E. A. Jackson"", ""Emily Ann Jackson"", ""Emily A. Bernhard Jackson"", ""Emily A. Jackson"", ""E.A. Jackson"", ""E. Jackson"", ""E A Jackson"", ""Emily Jackson""]",1993
Ian Douglas Willock,"[""Ian D Willock"", ""I. D. Willock"", ""Ian Douglas Willock"", ""Ian D. Willock"", ""Ian Willock""]",1992
Jiri Priban,"[""JIŘÍ PŘIBÁŇ"", ""Jirí Pribán"", ""Jiří Přiban"", ""Jiri Priban"", ""J. Priban"", ""Jiri Pribán"", ""Jiří Přibáň""]",2017
John Harrington,"[""John A Harrington"", ""J. A. Harrington"", ""John Harrington"", ""J Harrington"", ""John A. Harrington""]",2019
Lucy Series,"[""L Series"", ""Lucy Series"", ""Lucy Victoria Series""]",2019
Alex Ruck Keene,"[""Alex Ruck Keene"", ""A R Keene"", ""A Keene"", ""Alexander Charles Edward Ruck Keene"", ""Alex Ruck Ruck Keene"", ""Alexander Ruck-Keene"", ""A. Ruck Keene"", ""Alexander Ruck Keene"", ""A Ruck Keene"", ""A.R. Keene""]",2019
Emily Grabham,"[""Emily Grabham"", ""EMILY GRABHAM""]",2022
Gerald J. Thain,"[""Gerald J. Thain""]",2001
Rhona Newman,"[""R. Newman"", ""R. L. Newman"", ""R Newman"", ""Rhona Newman""]",1985
Mark Stallworthy,"[""Mark Stallworthy"", ""M. Stallworthy""]",1992
Uladzislau Belavusau,"[""U. Belavusau"", ""Uladzislau Belavusau""]",2020
Uladzislau Belavusau,"[""U. Belavusau"", ""Uladzislau Belavusau""]",2020
Aleksandra Gliszczyńska-Grabias,"[""Gliszczyńska–Grabias Aleksandra"", ""Aleksandra Gliszczyńska‐Grabias"", ""Aleksandra Gliszczyńska-Grabias"", ""Aleksandra Gliszczynska-Grabias""]",2020
Aleksandra Gliszczyńska-Grabias,"[""Gliszczyńska–Grabias Aleksandra"", ""Aleksandra Gliszczyńska‐Grabias"", ""Aleksandra Gliszczyńska-Grabias"", ""Aleksandra Gliszczynska-Grabias""]",2020
Sharon Weill,"[""Sharon Weill"", ""Weill Sharon""]",2020
Sharon Weill,"[""Sharon Weill"", ""Weill Sharon""]",2020
Linda Johnson,"[""Linda M.S.W. Johnson"", ""L. Johnson"", ""Linda Marie Johnson"", ""L Johnson"", ""L. M. Johnson"", ""Linda Johnson"", ""Linda M. Johnson"", ""Linda M Johnson""]",1997
Alan Dignam,"[""Alan J. Dignam"", ""Alan John Dignam"", ""Alan Dignam"", ""A Dignam"", ""A. J. Dignam""]",2014
Alan Dignam,"[""Alan J. Dignam"", ""Alan John Dignam"", ""Alan Dignam"", ""A Dignam"", ""A. J. Dignam""]",2014
Michael Galanis,"[""Michael Galanis"", ""M. Galanis""]",2014
Richard Moorhead,"[""Richard Lewis Moorhead"", ""Richard Moorhead"", ""R Moorhead""]",2021
Anna Heenan,"[""A.L.J. Heenan"", ""A L Heenan"", ""A. Heenan"", ""A Heenan"", ""Anna Heenan""]",2021
Maria Foscarinis,"[""Maria Foscarinis""]",2012
Gerald Turkel,"[""Gerald M. Turkel"", ""Gerald Turkel"", ""G Turkel""]",1990
Hilary Sommerlad,"[""H. Sommerlad"", ""Hilary Sommerlad"", ""H Sommerlad""]",2001
Roger Cotterrell,"[""Roger Cotterrell"", ""Roger B. M. Cotterrell"", ""Roger B.M. Cotterrell"", ""R Cotterrell"", ""ROGER COTTERRELL""]",1986
Joanne Conaghan,"[""J Conaghan"", ""J. Conaghan"", ""Joanne Conaghan"", ""Joanne A F Conaghan""]",2000
Deena Haydon,"[""Deena Haydon"", ""D. Haydon""]",2000
Phil Scraton,"[""Phil Scraton"", ""P. Scraton""]",2000
Colin Scott,"[""C.D. Scott"", ""C. D. Scott"", ""Colin Scott"", ""C Scott"", ""Colin David Scott""]",1996
Christopher Hood,"[""Christopher Hood"", ""Hood Christopher"", ""C. Hood"", ""C. C. Hood"", ""Christopher C. Hood"", ""C Hood""]",1996
Dia Anagnostou,"[""D. Anagnostou"", ""D Anagnostou"", ""Dia Anagnostou""]",2016
Paul Roberts,"[""Paul Roberts"", ""P Roberts"", ""P.H. Roberts"", ""P. Roberts"", ""Paul H Roberts"", ""P. H. Roberts"", ""Paul H. Roberts"", ""Paul Harry Roberts"", ""P H Roberts"", ""P.H Roberts""]",2016
Paul Roberts,"[""Paul Roberts"", ""P Roberts"", ""P.H. Roberts"", ""P. Roberts"", ""Paul H Roberts"", ""P. H. Roberts"", ""Paul H. Roberts"", ""Paul Harry Roberts"", ""P H Roberts"", ""P.H Roberts""]",2016
Richard Mullender,"[""Richard Mullender"", ""Richard Nigel Mullender"", ""R Mullender""]",2008
Richard Mullender,"[""Richard Mullender"", ""Richard Nigel Mullender"", ""R Mullender""]",2008
Helen Fenwick,"[""Helen M. Fenwick"", ""H. Fenwick"", ""Helen Fenwick"", ""Helen. Fenwick"", ""Fenwick Helen"", ""H Fenwick"", ""H.M. Fenwick""]",2010
Lisa F. M. Ansems,"[""LISA F. M. ANSEMS"", ""L.F.M. Ansems"", ""Lisa F.M. Ansems"", ""Lisa F. M. Ansems"", ""Lisa Francine Myriam Ansems""]",2022
Kees van den Bos,"[""K. van den Bos"", ""K van den Bos"", ""Kees Van Den Bos"", ""KEES VAN DEN BOS"", ""Keels Van Den Bos"", ""Kees Bos"", ""K. Van den Bos"", ""Kees van den Bos"", ""Kees Van den Bos"", ""K. Bos""]",2022
John McCord,"[""JOHN MCCORD"", ""J McCord"", ""John A. McCord"", ""John A McCord"", ""John McCORD"", ""J. McCord"", ""John McCord""]",2022
Eleanor Kirk,"[""ELEANOR KIRK"", ""Eleanor Kirk"", ""Eleanor Joanne Kirk"", ""E Kirk""]",2022
Lucy Royal-Dawson,"[""LUCY ROYAL‐DAWSON"", ""Lucy Royal-Dawson""]",2022
Grainne McKeever,"[""G. McKeever"", ""Grainne McKeever"", ""Gráinne McKeever"", ""GRÁINNE MCKEEVER""]",2022
Helena Wray,"[""Helena Wray"", ""Helena E. Wray""]",2006
Christopher E. Miller,"[""C.E. Miller"", ""Christopher Edmund Shiu Chung Chan Miller"", ""C E Miller"", ""Christopher Miller"", ""Christopher E. Miller"", ""C. E. Miller"", ""Christopher E Miller"", ""C Miller"", ""C. Miller""]",1995
Agustín José Menéndez,"[""Agustín Ménendez"", ""Agustin Jose Menendez"", ""Agustín José Menéndez Menéndez"", ""Agustín José. Menéndez"", ""Agustín Menéndez"", ""Agustín José Menéndez"", ""Agustín José Menendez"", ""Agustín J. Menéndez"", ""Agustín José Menèndez"", ""Agustin J. Menendez"", ""Agustin José Menéndez"", ""Agustin José Menendez"", ""Agustín-José Menéndez Menéndez, Menéndez Menéndez, Agustín-José""]",2017
Peter Robson,"[""P. W. Robson"", ""P Robson"", ""P. Robson"", ""Peter W. G. Robson"", ""Peter Robson""]",2001
Stefan Machura,"[""Stefan Machura"", ""S. Machura"", ""S.H. Machura""]",2001
Ralph Sandland,"[""Ralph Sandland"", ""R. Sandland"", ""S Ralph"", ""Sutton Ralph"", ""Sandland Ralph"", ""Ralph Sutton""]",2012
Andrew Balmer,"[""Andrew S. Balmer"", ""A.S. Balmer"", ""Andrew S Balmer"", ""A. Balmer"", ""Andrew Balmer"", ""A Balmer""]",2012
Carol Harlow,"[""C. Harlow"", ""Carol R. Harlow"", ""Carol Harlow""]",2000
Nick Wikeley,"[""Nick Wikeley"", ""N Wikeley"", ""NICK WIKELEY"", ""N.J. Wikeley"", ""N. Wikeley"", ""N. J. Wikeley"", ""N J Wikeley""]",1992
Marie Fox,"[""Marie Fox"", ""Fox Marie""]",1992
Thérèse Murphy,"[""T C. Murphy"", ""T.C. Murphy"", ""Tania Murphy"", ""T. C. Murphy"", ""Tania C. Murphy"", ""T C Murphy"", ""Tamara Murphy"", ""Murphy Thérèse"", ""T Murphy"", ""Therese Murphy"", ""Thérèse Murphy"", ""T. Murphy""]",1992
Peter Vincent-Jones,"[""Peter Vincent‐Jones"", ""P Vincent-Jones"", ""Peter Vincent-Jones"", ""P. Vincent-Jones"", ""Peter Vincent–Jones""]",1994
Suzanne Ost,"[""S. Ost"", ""Suzanne Ost"", ""S Ost""]",2002
Jacco Bomhoff,"[""J.A. Bomhoff"", ""J Bomhoff"", ""Jacco Bomhoff"", ""J. Bomhoff""]",2011
Anne Meuwese,"[""A.C.M. Meuwese"", ""A. Meuwese"", ""Anne Claartje Margreet Meuwese"", ""Anne Meuwese"", ""Anne C.M. Meuwese""]",2011
Richard Susskind,"[""R. E. Susskind"", ""Richard Eric Susskind"", ""Richard E. Susskind"", ""Richard Susskind"", ""R. Susskind"", ""R Susskind""]",1988
Susan Edwards,"[""S.S.M. Edwards"", ""Susan Sm Edwards"", ""SUSAN S. M. EDWARDS"", ""Susan S M Edwards"", ""S. EDWARDS"", ""Susan SM Edwards"", ""Susan Edwards"", ""SUSAN S.M. EDWARDS"", ""Susan S.M. Edwards"", ""Susan S. M. Edwards""]",1996
John Coggon,"[""J Coggon"", ""John. Coggon"", ""John Coggon""]",2018
JAY GORMLEY,"[""JAY GORMLEY""]",2022
Lucy Welsh,"[""Lucy Welsh"", ""LUCY WELSH"", ""Lucy Charlotte Welsh"", ""L Welsh""]",2022
Amy Clarke,"[""Amy M. Clarke"", ""Amy Clarke"", ""A Clarke"", ""A. M. Clarke"", ""AMY CLARKE""]",2022
Karin van Marle,"[""Karin van Marle"", ""Karin Van Marle"", ""Karin Van marle"", ""K. Van Marle"", ""K Van Marle""]",2016
Isolde de Villiers,"[""Isolde de Villiers"", ""Isolde De Villiers""]",2016
Simon Chesterman,"[""Simon. Chesterman"", ""Simon Chesterman"", ""S Chesterman"", ""Simon Arthur Chesterman"", ""S. Chesterman""]",1997
David Campbell,"[""David A. Campbell"", ""David A Campbell"", ""David Alexander. Campbell"", ""D. A. Campbell"", ""D. Campbell"", ""D A Campbell"", ""D. A. S. Campbell"", ""David Campbell"", ""D.A. Campbell""]",1997
Gillian Rose,"[""Gillian Cathryn Rose"", ""G. Rose"", ""G Rose"", ""G. C. Rose"", ""Gillian Rose""]",1985
Sabine Frerichs,"[""Sabine Frerichs""]",2013
Dermot P. J. Walsh,"[""Dermot P. J. Walsh"", ""Dermot Pj Walsh"", ""Dermot Walsh"", ""Dermot P J Walsh"", ""D.P. Walsh"", ""Dermot P.J. Walsh"", ""D. Walsh""]",2011
Avrom Sherr,"[""Avrom H. Sherr"", ""A Sherr"", ""Avrom Sherr"", ""A. Sherr""]",1992
J. Mervyn Jones,"[""Joseph M. Jones"", ""J.M. Jones"", ""Joseph M Jones"", ""J. Mervyn Jones"", ""Joseph Jones"", ""J. M. Jones""]",1982
Justin Winkler,"[""Justin Winkler"", ""J. T. Winkler""]",1982
Marija Bartl,"[""Marija Bartl"", ""M. Bartl""]",2017
Kieran McEvoy,"[""Kieran Mcevoy"", ""Kieran McEVOY"", ""Kieran P. Mcevoy"", ""Kieron McEvoy"", ""Kieran P McEvoy"", ""Kieran McEvoy"", ""K. McEvoy"", ""K McEvoy""]",2019
Max Travers,"[""M. W. Travers"", ""Travers Max"", ""MH Travers"", ""M. Travers"", ""Max Travers"", ""M Travers""]",2009
Steven Cammiss,"[""Steven Cammiss""]",2014
Roseanne Russell,"[""R. Russell"", ""R Russell"", ""R. L. Russell"", ""Roseanne Russell"", ""R.L. Russell"", ""R L Russell""]",2015
Anthony Bradney,"[""A. G. D. Bradney"", ""Anthony Bradney"", ""A. Bradney""]",2008
David Fraser,"[""D Fraser"", ""D. J. Fraser"", ""D J Fraser"", ""D. Fraser"", ""David John Fraser"", ""David J. Fraser"", ""David Fraser""]",2011
Michael King,"[""M. Sharp King"", ""M.S. King"", ""M. S. King"", ""Michael S King"", ""M. W. King"", ""M. King"", ""M.B. King"", ""Matthew King"", ""Matthew S King"", ""Michael King"", ""M King"", ""Matthew S. King"", ""Michael S. King""]",1996
John Mingers,"[""J. C. Mingers"", ""John. Mingers"", ""J C Mingers"", ""J Mingers"", ""John Mingers"", ""John C. Mingers"", ""J MINGERS"", ""J. Mingers""]",1996
Barbara G. Brents,"[""Barbara Gayle Brents"", ""Barbara Brents"", ""Barbara G Brents"", ""Barbara G. Brents""]",2010
Teela Sanders,"[""T. Sanders"", ""T.G Sanders"", ""Tania Sanders"", ""T. G. Sanders"", ""T Sanders"", ""teela sanders"", ""Teela Sanders""]",2010
J. Lea,"[""J. Lea"", ""James G. Lea""]",1984
Jeffrey T. Young,"[""Jeffrey T. Young"", ""J Young"", ""Jeffrey Young"", ""J. Young"", ""Jeffrey T Young""]",1984
Geoff Mungham,"[""G. Mungham"", ""Geoff M. Mungham"", ""Geoff Mungham"", ""Geoffrey Mungham""]",1984
Peter Goodrich,"[""P. Goodrich"", ""Peter Goodrich"", ""Peter Hampton Goodrich"", ""Peter H. Goodrich""]",2004
Carol J. Greenhouse,"[""Carol J. Greenhouse"", ""Carol J Greenhouse"", ""Carol Greenhouse""]",2017
Upendra Baxi,"[""U. S. Baxi"", ""Upendra Baxi"", ""U Baxi"", ""U. Baxi""]",2017
Upendra Baxi,"[""U. S. Baxi"", ""Upendra Baxi"", ""U Baxi"", ""U. Baxi""]",2017
Katie Cruz,"[""Katie A Cruz"", ""Katie Cruz""]",2017
Craig Lind,"[""Craig Michael Lind"", ""C. M. Lind"", ""Craig Lind"", ""Craig M. Lind"", ""C. Lind""]",2017
Anna Rossi,"[""Anna Laura Pereira Rossi"", ""Anna Laura Rossi"", ""Anna Rossi"", ""Anna L. Rossi"", ""A Rossi""]",2016
Simon Chesterman,"[""Simon. Chesterman"", ""Simon Chesterman"", ""S Chesterman"", ""Simon Arthur Chesterman"", ""S. Chesterman""]",1997
Tony Porter,"[""T Porter"", ""Tony Porter"", ""Tony Porter *"", ""T. Michael Porter"", ""Tony M Porter""]",2015
Karsten Ronit,"[""K. Ronit"", ""K Ronit"", ""Karsten Ronit""]",2015
Patrick Hanafin,"[""Patrick John Hanafin"", ""Patrick Hanafin"", ""Patrick J. Hanafin""]",2004
Joseph Brooker,"[""Joseph Brooker"", ""J. R. E. Brooker"", ""J. Brooker""]",2004
Adam Gearey,"[""ADAM GEAREY"", ""A Gearey"", ""Adam Gearey""]",2004
David Campbell,"[""David A. Campbell"", ""David A Campbell"", ""David Alexander. Campbell"", ""D. A. Campbell"", ""D. Campbell"", ""D A Campbell"", ""D. A. S. Campbell"", ""David Campbell"", ""D.A. Campbell""]",1999
Jane Holder,"[""J. Holder"", ""J.B. Holder"", ""J Holder"", ""Jane B. Holder"", ""Jane Holder""]",2013
Ben Pontin,"[""B. Pontin"", ""Ben Pontin"", ""B Pontin""]",2013
Andrew Fraser,"[""ANDREW FRASER"", ""Andrew Fraser"", ""Andrew Henderson Leith Fraser"", ""Andrew H. L. Fraser""]",2001
Jane Kelsey,"[""J. Graham T. Kelsey"", ""J. G. T. Kelsey"", ""J Kelsey"", ""Jane Kelsey""]",1993
Richard Rawlings,"[""Richard Rawlings"", ""R. W. Rawlings"", ""R Rawlings""]",1993
Ngaire Naffine,"[""N Naffine"", ""Ngaire Naffine"", ""N. Naffine""]",1998
Niklas Luhmann,"[""N. C. Luhmann"", ""N. Luhmann"", ""Niklas Luhmann"", ""N Luhmann"", ""NIklas Luhmann""]",1988
Stefan Machura,"[""Stefan Machura"", ""S. Machura"", ""S.H. Machura""]",2021
Arlie Loughnan,"[""A. Loughnan"", ""A Loughnan"", ""Arlie Loughnan""]",2021
Stina Bergman Blix,"[""STINA BERGMAN BLIX"", ""Stina Blix"", ""Stina Bergman Blix""]",2021
Julia H. Chryssostalis,"[""Julia H. Chryssostalis"", ""Julia Chryssostalis""]",2004
Muhammad Munir,"[""Muhammad Wajid Munir"", ""Muhammad Munir""]",2000
Ester Blay,"[""Ester Blay Gil"", ""Ester Blay"", ""Blay Gil, E. Blay, E. Blay, Ester. EB Gil. Gil, EB. Blay Gil, Ester""]",2021
Rebecca K. Helm,"[""Rebecca K. Helm"", ""Rebecca K Helm"", ""Rebecca Helm""]",2021
Mareike Riedel,"[""Mareike Riedel""]",2021
Christopher Thornhill,"[""Christopher Thornhill"", ""Chris Thornhill"", ""C. Thornhill"", ""C Thornhill"", ""C. J. Thornhill"", ""C.J. Thornhill"", ""Christopher James Thornhill""]",2010
Shubhankar Dam,"[""S. Dam"", ""Shubhankar Dam"", ""S.C. van Dam""]",2020
Linda Mulcahy,"[""L. Mulcahy"", ""L.J. Mulcahy"", ""Linda J Mulcahy"", ""Linda Mulcahy"", ""LINDA MULCAHY"", ""L Mulcahy""]",2020
Linda Mulcahy,"[""L. Mulcahy"", ""L.J. Mulcahy"", ""Linda J Mulcahy"", ""Linda Mulcahy"", ""LINDA MULCAHY"", ""L Mulcahy""]",2020
Linda Mulcahy,"[""L. Mulcahy"", ""L.J. Mulcahy"", ""Linda J Mulcahy"", ""Linda Mulcahy"", ""LINDA MULCAHY"", ""L Mulcahy""]",2020
Sally Wheeler,"[""S Wheeler"", ""Sally Padgett. Wheeler"", ""Sally Wheeler"", ""Sally Padgett Wheeler""]",2020
Marilyn Yousif,"[""M S Abdulrahim Yousif"", ""Marilyn Yousif""]",2019
Nicola Lacey,"[""N Lacey"", ""N. Lacey"", ""Nicola. Lacey"", ""N.E. Lacey"", ""Lacey Nicola"", ""Nicola Lacey""]",2020
Andrea Hughes,"[""Andrea Hughes"", ""A. J. Hughes""]",2013
Vicki Lens,"[""Vicki A. Lens"", ""Vicki Lens"", ""Vicki Arden Lens""]",2013
Astraea Augsberger,"[""Astraea Augsberger""]",2013
Tina Wu,"[""Tina T. Wu"", ""Tina Ting Liang Wu"", ""Tina Wu"", ""Tina T.L. Wu"", ""T. Wu""]",2013
Norman Lewis,"[""Norman D. Lewis"", ""N. B. Lewis"", ""Norman Douglas Lewis"", ""Norman Lewis"", ""N. Douglas Lewis"", ""N. Lewis"", ""N.D. Lewis""]",1984
Paul Wiles,"[""Paul Wiles"", ""P.N.P. Wiles""]",1984
Jane Lewis,"[""J Lewis"", ""J. Lewis"", ""J. N. Lewis"", ""Jane Lewis""]",1986
Yu Mou,"[""Mou Yu"", ""Yu Mou""]",2017
Yu Mou,"[""Mou Yu"", ""Yu Mou""]",2017
Yu Mou,"[""Mou Yu"", ""Yu Mou""]",2017
Christine Parker,"[""C E Parker"", ""C Parker"", ""Ce Parker"", ""C. White"", ""Christine Parker"", ""Carmel White"", ""C. Parker"", ""Christine Elizabeth Parker"", ""Carmel Parker White""]",2018
Christine Parker,"[""C E Parker"", ""C Parker"", ""Ce Parker"", ""C. White"", ""Christine Parker"", ""Carmel White"", ""C. Parker"", ""Christine Elizabeth Parker"", ""Carmel Parker White""]",2018
Rachel Carey,"[""Rachel N Carey"", ""R N Carey"", ""Rachel N. Carey"", ""Rachel Naomi Carey"", ""R Carey"", ""Rachael Carey"", ""Rachel Carey"", ""R. Carey""]",2018
Gyorgy Scrinis,"[""G Scrinis"", ""gyorgy scrinis"", ""Gyorgy Scrinis"", ""Gyorgy Scrinis Scrinis""]",2018
Gyorgy Scrinis,"[""G Scrinis"", ""gyorgy scrinis"", ""Gyorgy Scrinis"", ""Gyorgy Scrinis Scrinis""]",2018
Noa Vaisman,"[""Noa Vaisman""]",2014
Thomas J. Mathiesen,"[""Thomas J. Mathiesen"", ""T Mathiesen"", ""Thomas Mathiesen"", ""T. Mathiesen""]",1982
Lorna Fox O'Mahony,"[""Lorna Fox O’Mahony"", ""L. O'Mahony"", ""Lorna Fox O'Mahony"", ""L. Fox O’Mahony"", ""L. O’Mahony"", ""Lorna Fox O'mahony"", ""Lorna Fox OMahony"", ""L Fox O'Mahony"", ""L O'Mahony""]",2014
Louise Overton,"[""Louise Overton"", ""L Overton"", ""L. Overton""]",2014
Ann Mumford,"[""A.H. Mumford"", ""A Mumford"", ""Ann Mumford""]",2007
Jim Young,"[""Jim R. Young"", ""James Young"", ""J.R Young"", ""J.R. Young ."", ""J.R. Young"", ""James R Young"", ""Jim Young"", ""J. R. Young"", ""J. Young"", ""J Young"", ""James Robert Young"", ""J. young"", ""J R Young"", ""James R. Young"", ""JAMES R. YOUNG""]",1999
Anthony Bradney,"[""A. G. D. Bradney"", ""Anthony Bradney"", ""A. Bradney""]",1998
Doreen McBarnet,"[""Doreen J. McBarnet"", ""Doreen Mcbarnet"", ""Doreen McBarnet"", ""Doreen McBARNET""]",1988
Didi Herman,"[""D. Herman"", ""D Onov A N S Herman"", ""Didi Herman""]",1996
Richard Collier,"[""R. Collier"", ""R Collier"", ""Richard Stanley. Collier"", ""R.S. Collier"", ""R.S Collier"", ""Richard S. Collier"", ""Richard Collier"", ""RICHARD COLLIER"", ""R S Collier"", ""R. S. Collier"", ""Richard S Collier""]",1996
Geoffrey Samuel,"[""G. R. Samuel"", ""Geoffrey J. Samuel"", ""Geoffrey. Samuel"", ""G Samuel"", ""G. Samuel"", ""G. Robello Samuel"", ""G.R. Samuel"", ""Geoffrey Brian Samuel"", ""G. John Samuel"", ""Geoffrey B. Samuel"", ""Geoffrey Samuel"", ""G. J. Samuel""]",2009
Andrew Sanders,"[""A J Sanders"", ""A.J. Sanders"", ""A. J. Sanders"", ""Andrew J Sanders"", ""ANDREW J SANDERS"", ""Andrew James Sanders"", ""A.J.G.M. Sanders"", ""Andrew Sanders"", ""A.J.G M. Sanders"", ""A Sanders"", ""A. J. G. M. Sanders"", ""A. Sanders"", ""Andrew J. Sanders"", ""A.J.G.M. N.D.C. Sanders""]",1987
Paddy Hillyard,"[""P. A. R. Hillyard"", ""P.A. Hillyard"", ""P Hillyard"", ""P. Hillyard"", ""P.A.R. Hillyard"", ""Paddy Hillyard""]",1999
David Gordon,"[""D Gordon"", ""David Scott Gordon"", ""DAVID S. GORDON"", ""D. Gordon"", ""David Gordon"", ""D.. Gordon"", ""David S. Gordon"", ""D S Gordon"", ""David S Gordon"", ""D.S. Gordon""]",1999
Stewart Andrew Field,"[""Stewart Field"", ""Stewart Andrew Field"", ""S. B. Field""]",2006
David Kershaw,"[""David S. Kershaw"", ""D S Kershaw"", ""David S Kershaw"", ""D. Kershaw"", ""David Kershaw"", ""D.S. Kershaw"", ""D Kershaw"", ""D. S. Kershaw""]",2006
Andrew Petter,"[""Andrew Petter""]",1989
Sally Lloyd-Bostock,"[""SALLY LLOYD-BOSTOCK"", ""S. Lloyd-Bostock"", ""Sally Lloyd-bostock"", ""Sally Lloyd-Bostock"", ""Sally M. Lloyd-Bostock"", ""Sally M. A. Lloyd-Bostock"", ""S Lloyd-Bostock"", ""Sally Lloyd‐Bostock""]",1991
Noam Chomsky,"[""Noam+ Chomsky"", ""Noam. Chomsky"", ""NOAM CHOMSKY"", ""N Chomsky"", ""Noam Abraham Chomsky"", ""Noam A. Chomsky"", ""Noam Chomsky"", ""N. Chomsky""]",1993
Sally Wheeler,"[""S Wheeler"", ""Sally Padgett. Wheeler"", ""Sally Wheeler"", ""Sally Padgett Wheeler""]",1997
Grażyna Skąpska,"[""Graźyna Skąpska"", ""Grażyna Ska̧pska"", ""G. Skąpska"", ""Grażyna Skapska"", ""G. Skapska"", ""Grazyna Skapska"", ""Grazyna Skαpska"", ""Grażyna Skąpska"", ""Grazyna Skąpska"", ""GraŻyna Skąpska""]",2019
Phil Meyer,"[""P G Meyer"", ""P Meyer"", ""Phil Meyer"", ""P. Meyer""]",2001
Thomas Poole,"[""T Poole"", ""Thomas M. Poole"", ""T. Poole"", ""Thomas Poole""]",2004
Mauro Zamboni,"[""Mauro Zamboni""]",2008
John Eekelaar,"[""J. Eekelaar"", ""J Eekelaar"", ""J. M. Eekelaar"", ""John Eekelaar"", ""John M. Eekelaar""]",2004
Mavis Maclean,"[""M. MacLean"", ""M. Mac-lean"", ""MAVIS MACLEAN"", ""Mavis Maclean"", ""M Maclean"", ""M. Maclean"", ""M. Wayne Maclean"", ""Mavis MacLean""]",2004
Mavis Maclean,"[""M. MacLean"", ""M. Mac-lean"", ""MAVIS MACLEAN"", ""Mavis Maclean"", ""M Maclean"", ""M. Maclean"", ""M. Wayne Maclean"", ""Mavis MacLean""]",2004
Brenna Bhandar,"[""BRENNA BHANDAR"", ""Brenna Bhandar""]",2009
Roger Cotterrell,"[""Roger Cotterrell"", ""Roger B. M. Cotterrell"", ""Roger B.M. Cotterrell"", ""R Cotterrell"", ""ROGER COTTERRELL""]",1987
András Sajó,"[""AndrÁs Sajó"", ""Andras Sajo"", ""Sajó András"", ""András Sajó""]",1990
Alan Doig,"[""Alan Doig"", ""A.J. Doig"", ""A. Doig""]",1996
Peter Vincent-Jones,"[""Peter Vincent‐Jones"", ""P Vincent-Jones"", ""Peter Vincent-Jones"", ""P. Vincent-Jones"", ""Peter Vincent–Jones""]",2002
Julian Webb,"[""J Webb"", ""Jeb Webb"", ""Julian Webb"", ""Julian S. Webb"", ""J. K. Park and B. K. Webb"", ""J. Webb""]",2005
Andrew Boon,"[""A. Boon"", ""Andrew Boon"", ""Andy Boon"", ""A. R. Boon"", ""A. den Boon""]",2005
John Flood,"[""John Flood"", ""John T Flood"", ""Flood John"", ""John A. Flood"", ""JOHN FLOOD"", ""John A Flood"", ""J Flood"", ""J A Flood"", ""John Anthony Flood""]",2005
Paddy Ireland,"[""P. Ireland"", ""P Ireland"", ""Paddy Ireland"", ""Paddy W Ireland""]",1996
Clifford Shearing,"[""Clifford Denning Shearing"", ""C. Shearing"", ""Clifford D. Shearing"", ""Clifford D Shearing"", ""Clifford Shearing"", ""C.D. Shearing""]",2000
Tom Campbell,"[""T. Campbell"", ""T. D. Campbell"", ""T.D. Campbell"", ""Tom D. Campbell"", ""T Campbell"", ""Tom Campbell""]",1999
Clifford Shearing,"[""Clifford Denning Shearing"", ""C. Shearing"", ""Clifford D. Shearing"", ""Clifford D Shearing"", ""Clifford Shearing"", ""C.D. Shearing""]",2003
Jennifer Wood,"[""Jennifer Dawn Wood"", ""J Wood"", ""J. Wood"", ""Jennifer D. Wood"", ""Jennifer Wood"", ""Jennifer D Wood""]",2003
Mark McGovern,"[""M. McGovern"", ""Mark Mcgovern"", ""Mark J. McGovern"", ""Mark McGovern""]",2008
Patricia Lundy,"[""Patrick J. Lundy"", ""P Lundy"", ""P. J. Lundy"", ""P. Lundy"", ""P.J. Lundy"", ""Patricia Lundy""]",2008
Neil Gunningham,"[""Neil Anthony Gunningham"", ""Neil Gunningham"", ""N. Gunningham"", ""N Gunningham"", ""Neil A. Gunningham""]",2009
Julia Black,"[""J. Black"", ""J Black"", ""J.M. Black"", ""Julia M. Black"", ""Julia Black"", ""Julia Maria Black""]",2002
Fabrizio Cafaggi,"[""F Cafaggi"", ""F. Cafaggi"", ""Fabrizio Cafaggi"", ""Cafaggi Fabrizio""]",2011
Fabrizio Cafaggi,"[""F Cafaggi"", ""F. Cafaggi"", ""Fabrizio Cafaggi"", ""Cafaggi Fabrizio""]",2011
