"author","display_name_alternatives","year"
Jonathan Mance,"[""JONATHAN MANCE"", ""Jonathan Mance""]",2022
Matthew Harker,"[""M. Harker"", ""Matthew Harker"", ""MICHAEL HARKER"", ""M Harker"", ""Michael Harker"", ""Matthew J. Harker"", ""Michael E. Harker"", ""M.J. Harker""]",2022
Matthew Harker,"[""M. Harker"", ""Matthew Harker"", ""MICHAEL HARKER"", ""M Harker"", ""Michael Harker"", ""Matthew J. Harker"", ""Michael E. Harker"", ""M.J. Harker""]",2022
David Reader,"[""DAVID READER"", ""David Reader"", ""D Reader""]",2022
David Reader,"[""DAVID READER"", ""David Reader"", ""D Reader""]",2022
Peter Alldridge,"[""Peter W. Alldridge"", ""P Alldridge"", ""P. W. Alldridge"", ""Peter Alldridge""]",1986
Jennifer Radden,"[""J. Radden"", ""jennifer radden"", ""Jennifer Radden"", ""Jennifer H Radden"", ""Jennifer H. Radden"", ""J Radden""]",1986
Bettina Lange,"[""B Lange"", ""B. De Lange"", ""Bettina Lange"", ""B. Lange""]",2002
Felicity Kaganas,"[""F Kaganas"", ""Felicity Kaganas"", ""F. Kaganas""]",1994
Christina Murray,"[""C M Murray"", ""C.M. Murray"", ""C Murray"", ""C. Murray"", ""Christina Murray""]",1994
Peter Goodrich,"[""P. Goodrich"", ""Peter Goodrich"", ""Peter Hampton Goodrich"", ""Peter H. Goodrich""]",1984
Michael Wilkinson,"[""Michael A. Wilkinson"", ""Michael Wilkinson"", ""Michael. Wilkinson"", ""MICHAEL A. WILKINSON"", ""Michael A Wilkinson"", ""Michael Anthony Dr Wilkinson"", ""Michael Anthony Wilkinson"", ""M. Wilkinson""]",2023
Jiri Priban,"[""JIŘÍ PŘIBÁŇ"", ""Jirí Pribán"", ""Jiří Přiban"", ""Jiri Priban"", ""J. Priban"", ""Jiri Pribán"", ""Jiří Přibáň""]",2023
Roger Cotterrell,"[""Roger Cotterrell"", ""Roger B. M. Cotterrell"", ""Roger B.M. Cotterrell"", ""R Cotterrell"", ""ROGER COTTERRELL""]",1996
Neil Duxbury,"[""Neil Duxbury"", ""N. Duxbury"", ""Neil T. Duxbury"", ""N Duxbury""]",1996
Ambreena Manji,"[""Ambreena S. Manji"", ""Ambreena S Manji"", ""Ambreena Manji"", ""AMBREENA MANJI"", ""A. Manji""]",2022
Hans Lindahl,"[""Hans Lindahl"", ""H Lindahl"", ""HANS LINDAHL"", ""H.K. Lindahl""]",2022
Hans Lindahl,"[""Hans Lindahl"", ""H Lindahl"", ""HANS LINDAHL"", ""H.K. Lindahl""]",2022
Shane Darcy,"[""Shane Darcy"", ""S. Darcy"", ""SHANE DARCY"", ""S Darcy""]",2023
David Dyzenhaus,"[""David Dyzenhaus"", ""D. Dyzenhaus"", ""David Ludovic Dyzenhaus"", ""DAVID DYZENHAUS""]",2023
Roger Cotterrell,"[""Roger Cotterrell"", ""Roger B. M. Cotterrell"", ""Roger B.M. Cotterrell"", ""R Cotterrell"", ""ROGER COTTERRELL""]",2023
William Twining,"[""W. L. Twining"", ""William L. Twining"", ""W. Twining"", ""William Lawrence Twining"", ""W Twining"", ""William Twining""]",2020
David Sugarman,"[""David B. Sugarman"", ""David Sugarman"", ""D. Sugarman""]",2020
Melinda Jones,"[""M. Jones"", ""Melinda Mitchell Jones"", ""Jones Melinda"", ""Melinda Jones"", ""M Jones"", ""Melinda. Jones""]",1988
Allan C. Hutchinson,"[""A.E. Hutchinson"", ""Allan C. Hutchinson"", ""A Hutchinson"", ""A. T. Hutchinson"", ""A. C. Hutchinson"", ""A. J. Hutchinson"", ""Andrew T. Hutchinson"", ""Andrew Hutchinson"", ""Allan Hutchinson"", ""Andrew T Hutchinson"", ""Andrew Tasman Hutchinson"", ""Allan C Hutchinson"", ""Andy Hutchinson"", ""A T Hutchinson"", ""A. Hutchinson""]",1988
Stina Bergman Blix,"[""STINA BERGMAN BLIX"", ""Stina Blix"", ""Stina Bergman Blix""]",2010
Chiara Armeni,"[""Chiara Armeni""]",2021
Maria Lee,"[""Maria Lee"", ""M Lee""]",2021
Phil Scraton,"[""Phil Scraton"", ""P. Scraton""]",1985
Joanne Conaghan,"[""J Conaghan"", ""J. Conaghan"", ""Joanne Conaghan"", ""Joanne A F Conaghan""]",1987
Stephen Skinner,"[""Stephen John Skinner"", ""Stephen J. Skinner"", ""S.J. Skinner"", ""S. Skinner"", ""Stephen Skinner"", ""S. J. Skinner"", ""Stephen J Skinner""]",2003
Stephen Skinner,"[""Stephen John Skinner"", ""Stephen J. Skinner"", ""S.J. Skinner"", ""S. Skinner"", ""Stephen Skinner"", ""S. J. Skinner"", ""Stephen J Skinner""]",2003
Michael Salter,"[""M. Salter"", ""Michael G Salter"", ""M. G. Salter"", ""M Salter"", ""Michael Alan Salter"", ""Michael G. Salter"", ""M G Salter"", ""Michael Salter""]",1997
R. G. Lee,"[""R. G. Lee""]",1992
Robert D. Cooter,"[""Robert Cooter"", ""ROBERT COOTER"", ""Robert D. Cooter"", ""Robert D Cooter"", ""R. Cooter""]",1995
