year,author
2011,Jacco Bomhoff; Anne Meuwese
1996,Jaco Vos
1994,Jacqueline Hodgson
2004,Jacqueline Hodgson
2002,Jacqueline Hodgson
2014,Jacqueline Horan; Shelley Maine
2001,James Allan
2015,James Davey; Cliona Kelly
1988,James Foreman-Peck
2010,James Hand
1999,James Young
1986,Jan Pahl
1991,Jane Holder
2013,Jane Holder
1998,Jane Kelsey
1992,Jane Kelsey
1988,Jane Lewis
1986,Jane Lewis; Fenella Cannell
2010,Jane Scoular
2010,Jane Scoular; Teela Sanders
2004,Janet Read; Luke Clements
1985,Janie Percy-Smith; Paddy Hillyard
2012,Javier Lezaun
1990,Jean Stubbs
2007,Jean-Luc Nancy
2003,Jeff Giddings; Michael Robertson
2000,Jennifer Temkin
2009,Jeremy Jennings
2001,Jessica Silbey
2008,Jill Marshall
2001,Jill Stauffer
1997,Jir̆í Pr̆ibán̆
1994,Jir̆í Pr̆ibán̆
1999,Jir̆í Pr̆ibán̆
2012,Jiří Přibáň
2005,Jiří Přibáň
2012,Jo Samanta
2000,Jo Shaw
2008,Jo Shaw
1994,Jo Shaw
1987,Joanne Conaghan
2000,Joanne Conaghan
1993,Joanne Conaghan
1996,Joanne Conaghan
2000,Joanne Conaghan
1986,Joanne Conaghan
2011,JOANNE CONAGHAN
1987,Joanne Conaghan; Louise Chudleigh
1998,Joanne Conaghan; Wade Mansell
2010,Joanne P. Braithwaite
2003,Jodi Dean
1998,Joe Sim
1989,Joe Sim
1993,Joe Sim
1983,Joe Sim; Philip A. Thomas
2006,Johannes Feest
2005,John A. Harrington
2003,John A. Harrington; Ambreena Manji
2003,John Armour
1997,John Beechey
2006,John Bell
2002,John Braithwaite
1999,John Brigham
2012,JOHN COGGON
2003,John D. Jackson
1983,John D. Pratt
1994,John Eekelaar
1988,John Eekelaar
2004,John Eekelaar
1997,John Eekelaar
2004,John Eekelaar; Mavis MacLean
2011,JOHN FLOOD
2009,John Flood
1994,John Flood
1991,John Gibson
1989,John Griffith
1995,John Griffith
1993,John Griffith
1990,John Harris
1999,John Hucker
1998,John Hucker
1983,John J. Bonsignore
2001,John Jackson
1995,John Jackson
1994,John K. Galbraith
2003,John Laws
1983,John Mesher
1998,John Morison
2000,John Morison
2011,John P. Heinz
2001,John Strawson
1994,John Tweedy; Alan Hunt
2000,John W. Cioffi
1995,John W. Raine; Michael J. Willson
1997,John Wightman
1991,John Woodliffe
2005,Jonathan Doak
1989,Jonathan Montgomery
2014,Jonathan Mukwiri; Mathias Siems
1990,Jos Silvis
2014,José A. Noguera; Jordi Tena-Sánchez; Francisco J. León
2013,Jose Bellido
2014,Joseph A. McCahery; Erik P.M. Vermeulen
2004,Joseph Brooker
2014,Joseph Markus
1993,Josephine Reeves
2006,Judith Masson
1992,Judith Masson
2008,Judith Masson
2002,Julia Black
2005,Julia Black
2008,Julia Brophy
2004,Julia H. Chryssostalis
1995,Julia Sohrab
2012,JULIAN WEBB
1998,Julian Webb
2003,Julian Webb
2003,Julie Brownlie
1997,Julie MacFarlane
1992,Julie MacFarlane
2012,JULIE STEWART; ROSALIE KATSANDE
1989,June Tweedie; Tony Ward
1999,Karen Gross
2013,Kate Fitz-Gibbon
2009,Kate Malleson
2006,Kate Malleson
1994,Kate Malleson
1993,Katherine de Gama
1987,Katherine O'Donovan
1990,Katherine O'Donovan
1996,Katherine O'Donovan
1993,Katherine O'Donovan
1991,Katherine O'Donovan
2012,KATHY MACK
1991,Kay Milton
1990,Keith Soothill; Sylvia Walby; Paul Bagguley
1998,Keith Syrett
1982,Ken Foster
2011,Kenneth Veitch
2013,Kenneth Veitch
2006,Kevin Campbell; Alan Goodacre; Gavin Little
1999,Kevin Campbell; Douglas W. Vick; Andrew D. Murray; Gavin F. Little
2013,Kevin J. Brown
2003,Kevin Williams
2007,Kieran McEvoy
2000,Kieran McEvoy
2004,Kieran McEvoy; Heather Conway
2012,Kieran McEvoy; Louise Mallinder
2014,Kim Economides
1997,Kim Economides
1988,Kim Economides
1992,Kim Economides
1986,Kim Economides; Mark Blacksell; Charles Watkins
2013,KLAUS A. ZIEGERT
2015,Kleran McEvoy; Alex Schwartz
1986,Koen Raes
2002,Kola Abimbola
2005,Kristina Murphy
2014,L. J. B. HAYES
1983,Larry Gostin
2007,Laura Williamson; Marie Fox; Sheila McLean
2008,Laurence Koffman
1988,Laurence Lustgarten
2007,Lawrence O. Gostin
1999,Lee Bridges
1994,Lee Bridges
1983,Lee Bridges; Tony Bunyan
1990,Len Doyal
2001,Leon Sheleff
2003,Leora Bilsky
1999,Lesley Noaks
2015,Leslie J. Moran
2005,Lieve Gies
2015,Lilian Moncrieff
2009,Linda Hart
1997,Linda Johnson; Edward Epstein
2016,LINDA McDOWELL
2015,Linda Mulcahy
2008,Linda Mulcahy
2000,Linda Mulcahy
2015,Linda Mulcahy; David Sugarman
2001,Lindsay Stirton; Martin Lodge
2006,Lisa Glennon
2006,Lisa Johnson
1999,Lisa Waddington
2007,Lisa Webley; Liz Duff
2003,Lisa Whitehouse
2010,Lisa Whitehouse
1993,Lois Bibbings; Peter Alldridge
1996,Lois S. Bibbings
2006,Lois S. Bibbings
2008,Lori Frater; Robert Lee
2002,Lorna Fox
2010,Lorna Fox O'Mahony; James A. Sweeney
2014,Lorna Fox O'Mahony; Louise Overton
2003,Louise Anderson
2002,Louise Davies
2005,Lucia Zedner
2012,LUKE CLEMENTS
1999,Luke Clements
2005,Luke Clements
1999,Luke Clements; James Young
2005,Luke Clements; Philip A. Thomas
2015,Luke McDonagh
1991,Lynda M. Warren
2003,Lynn Mather
2006,M. A. Stein; P. J. S. Stein
1984,M. F. Roberts
1989,M. Levi; M. Suddle
2010,Maggie O'Neill
2016,Mairaj U. Syed
2015,Mara Malagodi
1985,Marc Galanter
2004,Marc Hertogh
2014,Marc T. Moore; Edward Walker-Arnott
2001,Marcelo Neves
1997,Margaret Thornton
1991,Margaret Thornton
1992,Marie Fox; John Morison
1992,Marie Fox; Therese Murphy
1985,Marilyn Strathern
2008,Marius Pieterse
1998,Mark Drakeford
1989,Mark Findlay
1991,Mark Findlay; Thomas Chiu Chor-Wing
1998,Mark Gillis
1999,Mark Hill
2011,Mark McCann; Sally Wheeler
1992,Mark Stallworthy
2009,Mark Stallworthy
1995,Martin Bowley
